id;unit;descript;text;price;pricecat_id
N_SGRT7;u;Prefabricated concrete gully with ductile iron cover of 50x25x50cm.;Prefabricated concrete gully with ductile iron cover of 50x25x50cm.;185.9500;
N_BGRT1;m;Prefabricated concrete interceptor with iron grate of 32x100cm.;Prefabricated concrete interceptor with iron grate of 32x100cm.;80.0500;
N_BGRT2;m;Prefabricated concrete interceptor with ductile iron grate of 20x100cm.;Prefabricated concrete interceptor with ductile iron grate of 20x100cm.;71.1000;
N_BGRT3;m;Prefabricated concrete interceptor with ductile iron grate of 10x100cm.;Prefabricated concrete interceptor with ductile iron grate of 10x100cm.;59.5000;
N_BGRT4;m;Prefabricated concrete interceptor with ductile iron grate of 13x100cm.;Prefabricated concrete interceptor with ductile iron grate of 13x100cm.;64.1500;
N_BGRT5;m;Prefabricated concrete interceptor with ductile iron grate of 48x100cm.;Prefabricated concrete interceptor with ductile iron grate of 48x100cm.;298.5000;
F9265C51;m3;"Concret base of HM-20/B/10/ I, soft consistency with mechanical interior transport";"Concret base of HM-20/B/10/I, of soft consistency and maximum size of 10 mm granulate, with mechanical interior transport with manual extension and vibration, with a rusty finish";87.0445;
F931201F;m3;"Base of artificial gravels, with extended and compacted material at 95% of the PM";"Base of artificial gravels, with extended and compacted material at 95% of the PM";29.2250;
F9E1311N;m2;Tile pavement for gray sidewalk of 20x20x4 cm on support of 3 cm of sand;"Tile pavement for gray sidewalk of 20x20x4 cm, first class, top price, on support of 3 cm of sand, made in the work with concrete mixer of 165 l and portland cement";35.3418;
F9J12X40;m2;Primer irrigation with specific cationic bituminous emulsion for irrigation of priming;"Primer irrigation with specific cationic bituminous emulsion for irrigation of priming, ECI type, with a provision of 1 kg / m2";0.5221;
F9G1A732;m3;Concrete flooring without additives HA-30/P/20/IIIa + E of plastic consistency;"Concrete flooring without additives HA-30/P/20/IIIa + E of plastic consistency, maximum size of aggregate, 20 mm, scattered from truck, manual extended and vibration, riveted finish";105.6413;
F9H11251;t;Continuous bituminous mixing pavement type AC 16 surf B50 / 70 D (D-12);"Continuous bituminous mixing pavement type AC 16 surf B50 / 70 D (D-12), with asphalt penetration bitumen, dense granulometry for tread and granite granulate, extended and compacted";55.8791;
F9H118E1;t;Continuous bituminous mixing flooring type AC 22 surf BC50 / 70 S (S-20);Continuous bituminous mixing flooring type AC 22 surf BC50 / 70 S (S-20);57.3861;
F9J13Y40;m2;Adhesive irrigation with modified bituminous emulsion with fast cationic polymer;"Adhesive irrigation with modified bituminous emulsion with fast cationic polymers, ECR-1d-m type, with a 1 kg / m2";0.4334;
VIRTUAL_U;u;Null price for unitary virtual elements;Null price for unitary virtual elements;0.0000;
VIRTUAL_M;m;Null price for  m virtual elements;Null price for m virtual elements;0.0000;
VIRTUAL_M2;m2;Null price for m2 virtual elements;Null price for m2 virtual elements;0.0000;
VIRTUAL_M3;m3;Null price for m3 virtual elements;Null price for m3 virtual elements;0.0000;
